AWND,WSF2,WSF5
5.7,10.7,13.9
4.2,9.4,11.2
2.6,5.8,10.7
5.9,10.7,13.9
4.9,10.7,13.4
2.5,6.3,7.6
5.3,10.7,16.1
4.4,10.3,13.4
6.4,10.7,14.3
5.5,10.3,13.9
3.9,8,10.3
5.5,8.9,10.7
6.2,13.4,17.4
8.8,16.1,21
6.1,12.5,15.6
3.3,7.6,9.4
6.8,12.5,14.8
4.8,9.8,12.1
8.3,13.9,17.9
9,13.4,17
9,13.9,17.4
6.1,9.8,13
1.9,4,8.9
3.2,6.3,8.9
5.2,10.3,13
3,6.7,8
1.6,4,5.4
1.6,4.5,6.7
5.6,10.3,13
3.7,8.9,12.5
2.8,8,10.3
5.1,11.6,15.6
3.6,9.4,11.6
3,6.3,8
7.2,13.9,17
8.3,14.8,20.6
11.5,17.9,21.9
6.2,15.6,20.1
2.9,7.2,9.8
3.9,8.9,10.7
5.1,9.4,11.2
3.1,6.3,7.6
2.3,6.3,8
6,12.5,14.3
7.4,12.5,17
3.1,9.8,11.6
1.5,4.5,9.8
5.9,13.9,17.4
6.9,11.6,15.6
4.4,11.6,14.3
5.9,13,15.6
3,6.7,8
7.1,13,16.1
3.2,8,10.3
3.6,7.6,10.3
4.3,9.4,11.2
2.4,5.8,7.6
5.2,10.3,13.9
2.4,6.7,8
7.5,12.5,15.6
2.3,5.4,6.3
4.2,9.4,11.6
3.9,6.7,8
3.5,6.3,8
2.6,5.4,7.2
7.8,14.3,18.3
4.2,12.5,14.3
2.2,4.5,5.4
6.5,13.4,16.1
6,9.8,12.5
7.2,13.4,17.4
5.3,13.9,17.9
3.6,7.6,9.4
3.4,7.2,9.8
3.3,8.9,11.2
5.8,17.4,22.8
9.1,17,23.7
2.9,6.3,13
4,7.2,9.8
4.8,8.9,11.2
6.1,11.2,14.8
9.3,13.4,18.3
3.9,9.4,13
4.2,9.8,13
6.6,12.5,14.8
2.6,5.8,7.2
6.2,13.4,17
3.8,7.6,9.4
3.3,7.6,9.8
2.5,7.6,9.4
2.4,6.7,8.9
3.7,9.4,10.7
5.5,9.4,11.6
3.2,5.8,6.7
6.2,10.3,13
4.9,10.3,11.6
3.8,7.6,11.6
3.8,8,11.2
7.2,11.6,15.6
7,11.6,14.8
4.8,9.4,11.6
2.1,4,4.5
1.9,4.5,5.8
2.8,6.3,7.2
3.3,7.6,10.3
6.8,13,17.4
3.2,6.7,7.6
4.8,10.3,13.4
2.5,7.6,10.3
2.5,5.8,6.7
2.2,10.3,13
4.7,10.7,13.9
0.9,3.6,4.5
4.7,9.8,11.6
7.6,11.6,15.6
8,14.3,17.9
5.9,9.4,11.2
7.7,15.6,19.2
4.8,12.5,19.2
3.4,7.6,9.8
4.4,9.4,11.2
4.8,10.7,13
4.2,8,10.3
3,6.3,8
5.2,10.7,13
5.8,11.6,13.9
3.1,7.6,9.4
7.1,11.6,15.6
9,16.1,21.5
3.7,7.6,9.4
2.2,5.4,5.8
4.3,10.3,13.9
5,11.2,14.3
5.1,11.2,14.3
4.4,10.7,13.9
5.4,13,16.1
9.3,18.3,23.7
3.4,7.6,8.9
6.5,9.4,11.6
5.7,9.8,11.2
3.6,8.9,10.7
2.8,6.7,7.2
5.1,7.6,10.3
9,13.9,18.3
7.2,14.3,17.4
6.3,12.5,15.6
5.5,9.4,11.6
4.8,9.4,11.2
2.1,4,5.4
4.5,7.6,8.9
6.4,12.5,16.5
8,13.9,18.3
3.3,7.6,9.4
7.6,12.5,15.6
7.8,11.2,15.6
6.3,13.4,16.1
9.8,16.1,20.6
4.6,8.9,11.2
4.1,10.3,13.9
3.9,9.4,11.6
3.8,8,9.8
3.6,8,10.3
8.4,13,16.1
4.7,10.7,13.9
4.4,9.8,11.6
3.9,9.4,10.7
3.9,8.9,11.2
8.4,13,16.1
4,7.6,9.4
6.3,12.5,15.6
9.2,15.6,20.1
6.9,13,15.6
2.6,7.2,8.9
5.3,12.5,14.3
2.9,5.8,10.7
3.8,7.6,11.2
4,9.4,16.5
3.9,16.1,19.2
5.6,11.6,13.4
3.9,5.8,7.2
4.1,7.2,10.3
2.7,4.5,13.4
6.5,12.5,16.1
5.5,12.5,16.5
4.3,11.6,14.8
6.6,10.7,13.4
8.7,14.3,21
7.6,17,21
5.2,9.4,13.9
2.8,7.2,10.3
6.3,13.4,16.1
8,13,16.1
6.8,10.3,13.9
7.9,13,15.7
5.4,10.7,13.9
9.3,15.7,19.2
5.7,12.5,17.4
6,9.4,12.5
6.8,12.5,15.7
6.8,14.8,18.3
8.5,14.3,20.1
2.8,6.7,8.1
5.1,14.3,18.3
5,10.7,13
3.1,6.3,10.7
5.2,9.8,16.5
6,10.7,14.3
8.4,14.8,19.2
7.3,14.8,21.9
8.8,14.3,19.2
6.4,13,18.3
7.6,12.5,15.7
4.4,8.9,10.7
1.8,5.8,7.6
3.8,7.6,10.3
7,15.7,19.2
4.5,13.9,17
4.3,8.1,13
4.5,12.5,16.5
4.3,9.4,12.5
3.3,6.7,10.7
6.2,12.5,16.1
5.4,11.2,13.9
3.1,7.2,14.8
3.2,7.6,0
6,10.7,14.8
4.8,14.8,21.5
2.3,7.2,11.2
3.7,6.7,9.8
3.6,7.2,14.3
4.5,8.9,10.7
6,9.4,11.6
7.6,11.6,14.8
7.7,12.5,15.7
9.6,16.1,20.6
8.5,15.7,18.3
10.1,18.3,22.8
5,15.7,19.2
3.5,9.4,11.6
6.3,11.2,13.9
4.6,9.4,10.7
6.6,14.8,19.7
4.8,12.5,17
5.1,11.2,15.7
4.1,9.8,12.5
2.1,4.5,7.6
7.1,14.8,17.9
3.1,8.1,10.7
4.2,8.1,10.7
8.5,13.9,18.3
5.1,11.6,14.3
5.4,10.7,13
5.7,11.6,14.8
5.3,16.1,20.1
3.6,12.5,16.1
3.8,12.5,15.7
2.8,11.2,13.4
5.5,9.8,12.5
8.9,13.9,17.9
